title,author,avg_rating,rating_count,year_published,genre
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Success
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Financiering
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Huishoudingen
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,"Finance, personal"
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Hacienda privada
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Spanish language materials
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Investissements
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Portfolios (financial records)
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Finanças privadas
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Investimentos
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Finances personnelles
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Riches
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Comportement
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Investissement
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Riche
"Rich Dad, Poor Dad",Robert T. Kiyosaki,3.99522,1046.0,1990.0,Hindi language
I Don't Love You Anymore,Rithvik Singh,3.5691056,246.0,2024.0,Poetry
I Don't Love You Anymore,Rithvik Singh,3.5691056,246.0,2024.0,Love poetry
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Ghosts
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Monsters
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Vampires
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Witches
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Challenges and Overcoming Obstacles
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Magic and Supernatural
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Cleverness
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,School Life
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,school stories
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Wizards
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Magic
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,MAGIA
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,MAGOS
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Juvenile fiction
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Fiction
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,NOVELAS INGLESAS
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Schools
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,orphans
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,fantasy fiction
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,England in fiction
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Witches in fiction
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Wizards in fiction
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Alchemy
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,New York Times bestseller
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Juvenile literature
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Magic in fiction
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Open Library Staff Picks
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Juvenile audience
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Children's stories
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Juvenile works
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Schools in fiction
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Fantasy
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Hogwarts School of Witchcraft and Wizardry (Imaginary place)
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Harry Potter (Fictitious character)
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Ficción juvenil
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Escuelas
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Hogwarts School of Witchcraft and Wizardry (Imaginary organization)
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Translations from English
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Chinese fiction
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Hermione Granger (Fictitious character)
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Reading Level-Grade 9
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Reading Level-Grade 11
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Reading Level-Grade 10
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Reading Level-Grade 12
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,"Hogwarts school of witchcraft and wizardry (imaginary organization), fiction"
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Children's fiction
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,"Schools, fiction"
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,"England, fiction"
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,"Potter, harry (fictitious character), fiction"
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,"Wizards, fiction"
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,"Magic, fiction"
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,"Fiction, fantasy, general"
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Magier
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Fabeltiere
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Lehrling
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Kinderbuch
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Stein der Weisen
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Ungeheuer
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Junge
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,English language
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Translating into Welsh
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Modern history to 20th century: c 1700 to c 1900
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Literary theory
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,English literature
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Ron Weasley (Fictitious character)
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Latin language materials
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,"Romans, nouvelles, etc. pour la jeunesse"
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,"Poudlard, école de sorcellerie (Organisation imaginaire)"
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Sorciers
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Sorcières
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Magie
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Internats
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,"Adventure and adventurers, fiction"
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Action & Adventure
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Fantasy & Magic
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Social Themes
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Friendship
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Harry Potter (Fictional character)
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,"Friendship, fiction"
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,German language materials
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,"Witchcraft, fiction"
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Wizard
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,NOVELAS FANTÁSTICAS
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,NOVELAS JUVENILES INGLESAS
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,LITERATURA JUVENIL ESTADOUNIDENSE
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Écoles
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Hechicería
Harry Potter and the Philosopher's Stone,J. K. Rowling,4.2381973,932.0,1997.0,Novela juvenil
