title,author,avg_rating,rating_count,year_published,all_genres,Other,activism,adult,bestseller,children/young adult,fantasy,fiction,guide,history,inspirational,literature,non-fiction,other,poetry,romance,science,spiritual/religious,sport,features_text,top_keywords,popularity,scaled_rating,cluster,rating_scaled,year_scaled
A Christmas Carol,Charles Dickens,3.94,14758,1843,"Other, children/young adult, fantasy, fiction, history, literature, science",1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,"A Christmas Carol Other, children/young adult, fantasy, fiction, history, literature, science ","carol, christmas, fantasy, history, young, children, science, adult",9.599608345181776,0.735,2,0.735,0.9355752212389381
A Christmas Carol (Paperback),Charles Dickens,4.09,0,1843,"guide, non-fiction",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"A Christmas Carol (Paperback) guide, non-fiction ","carol, christmas, guide, non, paperback, fiction, zone, zonal",0.0,0.7725,3,0.7725,0.9355752212389381
A Clash of Kings,George R. R. Martin,4.32,7998,1998,"Other, bestseller, fantasy, fiction, literature",1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,"A Clash of Kings Other, bestseller, fantasy, fiction, literature ","clash, kings, fantasy, bestseller, literature, fiction, zonal, zombie",8.987071812848821,0.8300000000000001,2,0.8300000000000001,0.9904424778761062
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.42,0,1998,fantasy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"A Clash of Kings  (A Song of Ice and Fire, #2) fantasy ","clash, ice, song, kings, fantasy, zone, zonal, zombie",0.0,0.855,0,0.855,0.9904424778761062
A Clockwork Orange,Anthony Burgess,4.05,3844,1962,"Other, fiction, literature, other",1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,"A Clockwork Orange Other, fiction, literature, other ","clockwork, orange, literature, fiction, 015, 김지영, zone, zonal",8.254528881939745,0.7625,2,0.7625,0.9776991150442478
A Clockwork Orange (Paperback),Anthony Burgess,4.0,0,1962,fiction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,A Clockwork Orange (Paperback) fiction ,"clockwork, orange, paperback, fiction, 015, 김지영, zone, zonal",0.0,0.75,0,0.75,0.9776991150442478
"A Closed and Common Orbit (Wayfarers, #2)",Becky Chambers,4.37,0,2016,science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"A Closed and Common Orbit (Wayfarers, #2) science ","orbit, closed, wayfarers, common, science, 015, 김지영, zone",0.0,0.8425,0,0.8425,0.9968141592920354
A Confederacy of Dunces (Paperback),John Kennedy Toole,3.89,0,1980,fiction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,A Confederacy of Dunces (Paperback) fiction ,"dunces, confederacy, paperback, fiction, 김지영, zone, zonal, zombie",0.0,0.7225,0,0.7225,0.984070796460177
A Connecticut Yankee in King Arthur's Court (Paperback),Mark Twain,3.78,0,1889,fiction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,A Connecticut Yankee in King Arthur's Court (Paperback) fiction ,"connecticut, arthur, yankee, court, king, paperback, fiction, zombie",0.0,0.695,0,0.695,0.951858407079646
A Course in Miracles: Combined Volume (Hardcover),Helen Schucman,4.19,0,1976,spiritual/religious,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,A Course in Miracles: Combined Volume (Hardcover) spiritual/religious ,"combined, miracles, course, volume, religious, spiritual, hardcover, 김지영",0.0,0.7975000000000001,0,0.7975000000000001,0.9826548672566372
"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.5)",Sarah J. Maas,3.72,0,2019,"Other, fiction, romance",1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.5) Other, fiction, romance ","court, starlight, frost, roses, thorns, romance, fiction, 김지영",0.0,0.68,4,0.68,0.9978761061946902
A Court of Mist and Fury,Sarah J. Maas,4.0,10700,2014,"Other, bestseller, children/young adult, fantasy, fiction",1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"A Court of Mist and Fury Other, bestseller, children/young adult, fantasy, fiction ","mist, fury, court, fantasy, bestseller, young, children, adult",9.278092474027002,0.75,2,0.75,0.9961061946902655
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.64,0,2016,"Other, romance",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"A Court of Mist and Fury (A Court of Thorns and Roses, #2) Other, romance ","court, mist, fury, roses, thorns, romance, 015, 김지영",0.0,0.9099999999999999,4,0.9099999999999999,0.9968141592920354
A Court of Silver Flames,Sarah J. Maas,4.43,270,2021,"Other, bestseller",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A Court of Silver Flames Other, bestseller ","flames, silver, court, bestseller, 김지영, zone, zonal, zombie",5.602118820879701,0.8574999999999999,1,0.8574999999999999,0.9985840707964602
A Court of Thorns and Roses,Sarah J. Maas,3.88,4644,2013,"Other, bestseller, children/young adult, fantasy, fiction, romance",1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,"A Court of Thorns and Roses Other, bestseller, children/young adult, fantasy, fiction, romance ","roses, thorns, court, fantasy, bestseller, young, children, adult",8.443546651247939,0.72,2,0.72,0.9957522123893805
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.16,0,2015,"Other, romance",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1) Other, romance ","roses, thorns, court, romance, yeats, 015, 김지영, zone",0.0,0.79,4,0.79,0.9964601769911504
"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,4.46,0,2017,"Other, romance",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3) Other, romance ","court, ruin, wings, roses, thorns, romance, yeats, 015",0.0,0.865,4,0.865,0.9971681415929203
"A Cousin's Promise (Indiana Cousins, #1)",Wanda E. Brunstetter,4.2,0,2009,spiritual/religious,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"A Cousin's Promise (Indiana Cousins, #1) spiritual/religious ","indiana, cousins, cousin, promise, religious, spiritual, 김지영, zone",0.0,0.8,0,0.8,0.9943362831858407
"A Cross-Country Christmas (Road Trip Romance, #1)",Courtney Walsh,3.93,0,2021,guide,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"A Cross-Country Christmas (Road Trip Romance, #1) guide ","trip, cross, country, road, christmas, guide, romance, zone",0.0,0.7325,0,0.7325,0.9985840707964602
A Curious History of Sex (Kindle Edition),Kate  Lister,4.16,0,2020,Other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A Curious History of Sex (Kindle Edition) Other ,"curious, sex, kindle, edition, history, zone, zonal, zombie",0.0,0.79,0,0.79,0.9982300884955753
