title,author,avg_rating,rating_count,year_published,genre
The Summer I Turned Pretty Trilogy,Jenny Han,4.3139534,86,2009,"Interpersonal relations, fiction"
The Summer I Turned Pretty Trilogy,Jenny Han,4.3139534,86,2009,"Seashore, fiction"
The Summer I Turned Pretty Trilogy,Jenny Han,4.3139534,86,2009,"Vacations, fiction"
The Summer I Turned Pretty Trilogy,Jenny Han,4.3139534,86,2009,"Summer, fiction"
It Starts with Us,Colleen Hoover,3.994152,342,2022,Contemporary
It Starts with Us,Colleen Hoover,3.994152,342,2022,Romance
It Starts with Us,Colleen Hoover,3.994152,342,2022,Friendship
It Starts with Us,Colleen Hoover,3.994152,342,2022,Fiction
It Starts with Us,Colleen Hoover,3.994152,342,2022,Young Adult Fiction
It Starts with Us,Colleen Hoover,3.994152,342,2022,collectionid:nyt2020s
It Starts with Us,Colleen Hoover,3.994152,342,2022,American literature
The Secret,Rhonda Byrne,3.9125,80,2000,the Law of Attraction
The Secret,Rhonda Byrne,3.9125,80,2000,positive thinking
The Secret,Rhonda Byrne,3.9125,80,2000,New Thought
The Secret,Rhonda Byrne,3.9125,80,2000,Success
The Secret,Rhonda Byrne,3.9125,80,2000,Psychological aspects of Success
The Secret,Rhonda Byrne,3.9125,80,2000,Psychological aspects
The Secret,Rhonda Byrne,3.9125,80,2000,Self-actualization (Psychology)
